X,Y
36.8620657449,-57.1608470482
-63.9201319788,-17.7436869307
-11.1268497141,-42.6844402804
-6.1121894661,10.5623837417
-47.0429052195,23.2628915996
-16.9765103061,68.8779305816
54.3007264896,15.017933518
5.2138778212,-42.6607476547
-75.9790317051,27.6746355028
-42.6203548303,-32.9125469141
-19.2236405198,37.272435846
39.5979572916,73.7720420409
0.8550762943,30.7946890481
-51.9195201024,-23.834154691
-65.0673524893,-14.0779716232
-0.9418442124,21.2672766356
0.0111411856,21.5771147488
-8.6415716964,60.7793329574
-59.5720156934,47.2252929182
-59.5329487079,-23.4025306969
54.3346615103,-15.1831913064
-39.5549897409,-23.0431691274
2.7974553661,27.3089786081
33.7633350636,58.8598281349
-36.9205402627,-63.0385041913
23.9473085601,42.8721893406
-15.9398975255,-36.9000521251
-0.9953456136,55.1165566711
43.2302369661,-13.3465763759
-26.723053279,26.4938693636
-24.1660321952,-18.4151401008
-44.9534571929,6.6367998641
-10.4785282896,-26.5639699359
43.4675592808,63.2139743207
43.0700365741,3.6181413513
-29.7600313242,-30.3251895433
52.0614773345,-31.6030386916
23.4985729578,-36.0671816968
-12.2681384122,-30.8159367559
12.7023860692,-18.4638871746
1.9006738235,37.6741172691
11.175374512,37.2059846704
-15.8784015224,69.0549171999
-61.6713478382,-10.4210943427
15.0109942795,-0.0754142197
-0.5178191283,38.1585370888
-29.7502533986,-26.9932806463
24.8606929588,-40.0596898878
4.1989917678,-48.9759322366
-19.0221681835,21.8919966345
21.7866582441,-53.5365005038
-7.3041040267,-39.779710428
-17.9026545844,-6.2657080814
-22.5129707129,-62.1378186924
71.6337930838,-60.8511677734
17.8791358315,64.7864573027
26.5615805899,-61.3114552855
43.4673251045,-70.5069697627
-10.6023803198,-52.4664892875
-10.1922485532,-25.5760336661
3.0206406756,9.0729074691
51.0192766137,-44.8170592268
67.0383441035,-24.2634102352
-1.6195528638,60.0125282649
12.982866344,-37.0131992109
18.2506580093,33.1921948109
28.8789953842,28.8633086745
-52.6815822781,-28.3041917546
-34.2106854876,-2.8077043185
-71.2729086362,13.6864807103
-49.300652228,37.1983247638
-42.6312338582,-2.7799833794
-58.5896264515,-29.2348147876
-71.660955495,0.4899088531
-30.6096695075,2.0359198544
-57.5453358444,-3.1988052585
-34.8151381881,-26.4071116693
-72.7751427079,32.0928636054
47.9573387863,-28.9371660139
66.843627984,-32.1879264308
11.9341965806,-33.248630628
75.9271306347,-4.8204979185
-47.904521977,31.8057347479
0.551112857,20.3079386301
-28.3508221375,11.1070749555
-25.7310150467,19.065198907
-28.4627480487,-46.1509948268
-66.3770778966,-45.5852649462
55.287733471,-23.7302007003
25.5555759555,-48.7787504297
65.8122531369,3.7583674694
-9.8445344266,68.9529581327
23.7402392175,-20.2333837116
48.2597903448,-27.5841954863
-49.9494234009,-48.1712971419
65.7412735873,-4.6781874349
4.255525792,49.7950617771
16.6239700237,9.5318746312
8.0631607063,3.2228970714
11.7307673868,-2.2857239087
44.9082142554,24.5952040064
-21.6250333603,6.4873327179
55.931480092,-35.6785203646
54.7700132708,-9.272004458
-39.7485612034,10.5528577374
54.6792784382,48.0685684846
26.5342393682,55.7250196286
7.5521793064,62.7737266546
32.8969952489,11.4485048417
-32.972743198,44.8814044583
5.8088061477,-29.0721913439
58.4255448816,-32.1179420807
26.0717912331,-54.9681539772
-18.3645262979,-27.1307261442
-40.6238553159,34.5035158176
4.1004311035,-32.891554083
-68.440180198,0.9793385627
-13.9937701925,-19.4012437573
71.3073440944,-17.2384139775
-12.6616575426,-43.4210924754
23.260708062,28.9036906478
34.4621841174,11.1048375957
0.9997372286,32.8251365104
43.0889212926,-5.4395877118
11.1101023899,-5.1824583505
-44.053479772,-6.645093362
-5.5532538702,9.8621584369
-35.3618310263,28.9177524587
89.0695907066,7.6200815097
-8.7599169237,44.4439457981
29.6465866086,35.2274216191
-8.2194928008,-2.7565500254
31.2275013667,-23.9755863794
3.6908396768,23.0116157008
0.1800168472,-39.3064971814
-70.8052176023,-31.3957438461
10.0236374808,-65.9441995304
-60.1647979868,27.064389382
18.0035613236,-20.3006529232
-24.5835194671,20.751802316
-5.8941895824,-49.6538103294
-19.5552805481,-17.5604333538
42.6192491376,34.6949794697
70.5070972263,-43.7497822039
1.9179728366,14.9502716988
16.6604216024,-12.6965124385
15.7712458044,5.3981711984
34.9094685129,55.7707948738
55.9642306233,38.688731192
-6.1565066735,-31.0133136895
0.9165767187,-10.3578953776
47.2943650189,-6.2292300317
-14.4827026427,-38.6684655581
10.7926864213,-12.4713325387
-34.048597026,-16.3638749942
10.3551401511,7.3668984926
-2.0273731748,-6.1128171277
16.1466429054,-28.0400954873
-57.4935397563,-9.6870439694
-14.7390042041,19.4744281569
-43.9907506489,35.0333321673
-54.9926933807,22.7417301248
-2.2327134281,-26.9615956737
6.95168831,4.8590515478
-20.8011715304,40.2482466477
-57.2949268369,24.2937697385
-28.1987738657,-22.8120081328
-45.9949637798,-62.7135978346
-0.4449995015,34.6161150847
-25.4977412251,-12.0523435776
7.5248004075,-18.1374004151
69.537144162,-17.4770676446
66.9978589798,-31.5965215499
61.4702524854,-21.7672717805
4.7710288341,6.5202811244
10.2370425214,24.1140732825
-29.6739109556,-41.0822010217
33.6164086158,3.662931029
-66.6916928008,-11.6392679605
-16.171425449,53.2809401704
-44.5331981648,17.141285602
-11.8346145498,11.0187279553
-52.1903714373,41.3355213013
4.2105721105,-26.6842674902
37.3161173004,-30.5447287337
19.3500552534,-6.9703367926
-6.2683430124,-36.8086726937
-67.5714170927,-17.716012181
43.9199104121,41.3253641815
-2.183233259,-9.0939139275
6.6631452027,17.0241600957
-14.64878124,-28.5124427627
29.1777948712,-25.8002493156
-60.9177152707,-11.7236231948
1.014806484,46.101291685
63.2094650108,4.058135672
-20.3342265773,8.5407379395
35.61602187,68.7431799343
-20.4816558046,-43.0643327563
-47.8050958502,6.5310070865
-53.9078540041,-54.3387652422
18.9970783923,34.4787725362
-81.0616566158,4.3922901778
-35.5656528972,5.9208351748
66.3582076655,-17.0514858042
-21.0770738055,-0.9354085026
37.768004066,2.2872863955
69.4199212269,-12.314380689
-31.8654027879,-48.5327122637
-22.4671218201,-28.148841973
21.4281720413,-20.4869713658
-53.8899191592,-40.5954097632
-45.9626964545,-69.7771218088
-7.6025048204,-4.0345468012
-43.1450301454,-12.6088594861
-8.2908638601,-59.5509567848
75.3439124817,-0.3865502319
14.6256554964,21.3215409546
-67.1507518208,2.5426149534
32.201950695,-40.8191440231
-1.517389619,54.067160178
10.2898438009,-0.3712304642
6.164768486,6.6107285931
50.3310072427,2.0138315596
-12.1651504034,-33.5165150324
-21.968871155,29.6320947574
56.962231459,24.4546264619
4.0037415588,12.8543593446
-3.2497556249,36.8361925018
-17.4670018852,-34.5198461164
68.774417357,-26.210918167
8.0102208812,-26.5210939093
60.1533580948,-49.2172978983
61.2585191326,-1.9130226603
-65.306088779,-4.6733098067
52.8164594704,-46.9893795574
-34.6254318056,23.3699012386
-37.0501149016,-71.2892157964
12.8646167768,-16.7869223747
24.4569531034,-32.5603748573
63.6715467287,10.599042774
-42.1456638322,2.753566425
41.2904761043,-12.8054864008
5.0407527751,1.9154986584
44.5706226687,-2.5927987049
-26.1601963449,25.7780787335
46.805596741,17.4977692576
55.8792459991,-14.1482438845
62.1431985672,-24.3097334914
-37.8048754048,-5.9712390384
-11.1561459844,72.3761259585
-40.4367685946,-38.0647719392
-25.3937666006,20.7833387925
27.4154469962,18.3123715968
15.0892451747,-67.4016460294
-36.2104186864,16.0318517492
-14.6078008491,-22.7623824377
-35.6475072448,-52.1264366956
19.8801566002,-32.894172009
-11.8467370056,52.8901432592
-1.0766698119,5.7692968857
24.4180624993,-13.1413397915
-26.6554458359,-23.647657765
34.1776878517,31.8308124321
4.2270379297,18.0321667646
32.8853257672,43.2338919728
62.6535410786,-6.0207410498
-31.648383031,55.3395347171
70.1658030253,-2.1501360527
35.7863207861,25.699658306
-8.6034356195,-43.5484842622
56.5323639912,15.9058330824
8.692533013,-7.0726708884
-0.8272274976,48.7631888918
15.657455877,17.898173536
-4.4765880707,9.2164993916
2.1791045553,22.6577840413
39.7169087717,22.4603287296
-41.7208508995,-20.8033235541
54.6834641525,4.3266812265
-1.9015112218,27.1670789518
-36.3802083116,-4.3526275249
-27.6566578061,-51.9110096698
33.1472245522,30.9277027224
26.1178435756,0.5724680877
-48.2403409401,-5.201806887
-37.4086770143,0.599578104
34.0426345561,-10.5206153564
57.3019057374,25.4425956907
25.8791453372,44.4280269002
-5.5079839505,33.8761880729
21.7802249139,-30.6433925253
28.9725100069,-58.1941573684
7.7688157958,-13.9007915843
19.8826413909,-44.8966336025
42.9428685755,28.8061308611
26.8751474034,-17.3748578125
78.6042061243,-39.0403802837
5.7789407681,37.316704191
2.5030696653,-0.9453103693
-36.8083673607,-11.6881294448
21.116996722,-22.1464795771
-4.4742016105,33.0355872719
20.0517076722,-26.6454375991
1.1784028851,23.7439299829
11.678717077,-8.492616415
-23.7421776419,8.9178505335
16.66206514,1.4489460221
-7.5979800804,-20.1276353243
-10.0733026038,-35.4178178878
13.8210179282,2.5533339508
26.3774275821,-27.1608006156
-25.781685046,16.0333629966
-42.9575275011,21.5773009452
4.677576816,20.1594555732
-42.7214756368,5.67302688
39.2137692302,18.5058999655
-45.6946743968,-7.7043075279
43.0589559064,-18.459664146
34.6542669711,6.2725982334
24.1694398426,50.5180238884
-29.8027216888,13.5530430895
-29.7248563624,-7.1618749265
42.0584553753,-22.5226880339
-32.7208858794,-39.2061629721
28.1498831588,-42.9219476826
-43.1731968709,-14.4062943777
-32.2128499747,-18.3866428696
-58.3939844539,1.2758834334
44.9345059992,30.8582875491
-42.1795244604,13.5261875511
4.32093178,36.7751471973
-23.103248295,45.6343125444
-55.8902031376,-47.5571540727
18.2618474161,-36.0710993659
-14.6031582168,11.0058645376
31.4888105393,29.5091956256
75.5270859776,-50.4415567713
-44.9890250102,46.2990518288
1.3884376623,17.145783822
0.9545972989,41.3195544286
-17.9633564258,0.4833744352
-28.6403472708,25.9209388709
32.3061419028,-4.7301771119
17.723945497,-19.4412762825
4.4852321434,-19.9403051159
-3.2593648137,32.374469287
7.9306326464,0.6171117284
-20.5641997276,96.5259623074
18.8292491079,47.3791849638
-30.0979180194,12.4682374541
44.4076268818,1.689834493
-28.9611944594,-62.6851961712
35.2019441955,-8.5261917796
-5.1429032718,32.6918249781
7.6183314507,7.4120646861
-58.0539277249,-44.1223423447
-27.1318657195,-32.2220052239
5.715503424,9.2206595417
32.0360441073,37.459809857
24.4244877167,-44.4227438562
23.0821528284,-23.1455898142
-50.7524120311,-53.1991783531
-22.1240617912,9.9248948715
46.8693261636,-37.2044343525
-3.6132573427,31.0327033744
-34.3790747463,-9.9224258595
-20.1588920118,25.6985761982
-21.9967050531,6.1365912226
16.5578427793,-61.5347398063
-63.1237122852,-1.1676983867
-15.9742672746,-54.5878635303
-7.8717598335,-41.5581360015
49.4057447262,55.7335271639
13.4914853847,-33.9958931775
50.4826771098,11.1937449847
47.2923617379,-4.5158063463
-13.3756181443,-16.3652999753
27.2299975403,-51.7834060923
-25.7851166671,-48.9542768769
14.8994200706,-11.1488359413
17.0765132067,-22.4963446801
-56.4687171639,-27.2406234814
-66.5719583766,-6.4492659024
-61.1144438523,4.3342232162
14.9666787518,-24.2633193502
37.7479070457,5.390522207
-46.53664292,53.8665713389
23.8630582022,45.1188430983
-35.2122993777,-25.6714645762
-28.7416267775,-26.3208597959
-64.651571639,-32.1038451765
53.5117280978,-18.0253352215
-45.7122652645,40.3761971117
-43.9347042211,-3.0546880029
2.5087496849,30.6263262755
10.9782814446,-75.4590165006
51.5985969664,-2.6729049378
-54.9760282496,2.7149781247
41.6290761895,26.9591742125
-39.8519073186,-11.6997882788
3.4210484944,25.9566638691
83.097229134,17.1985136104
-36.9492518624,41.8784852385
14.1170073347,-23.5811487503
-48.2604148537,-29.2970087678
2.219297242,35.042274122
14.3108846292,-19.0870685987
-23.5060219935,-51.7321746521
41.3253712641,17.0817860451
-26.1653671619,-60.0100318094
10.1516643162,-52.1941786663
15.8245510498,-26.9247627915
72.9938204151,43.0963340719
-45.8324082782,-36.089728211
-60.9530944371,-16.3311986785
-54.0070436361,-38.9434641249
-35.9807617219,-60.2995037951
46.4398799668,36.0518837539
-68.5813741373,5.0686085543
-35.9983626405,-46.2583502923
8.5195296246,-53.4165181332
-3.5512517814,-44.3023019646
11.2165927797,42.1916259373
-60.9991156104,-36.6973268541
9.2871265617,6.4440606346
28.4943921617,13.2629796011
-30.2602531107,21.6911445925
-15.2921077684,-12.6732150881
-25.4010107759,22.6250243702
61.2042890949,-6.7391952979
2.2399797195,-43.0140416921
7.1879556638,1.5163587049
-28.066711872,-8.1108027003
24.5099742473,-59.0158427143
-23.3058160293,9.0471794058
5.3038198807,43.6848602348
-3.3373531659,63.9313145413
43.559082923,43.0805458959
21.4407122218,-51.6365094209
2.4083157766,-20.1266204782
-10.99562287,56.1085249793
31.9896237725,24.6555787113
-25.0986265743,-34.7030212754
17.3624280215,-3.7474091533
21.2201192151,-39.3604244996
11.6065920414,-19.0917243454
75.5318634745,-17.2366994941
43.5647245042,10.6355803136
-51.087063932,-5.6122200483
5.5283980468,-32.0720933307
-27.2384714755,20.7954717638
36.6909287821,39.7776463856
55.8059795171,-6.9957331186
16.1012337837,-22.3603367665
46.6499905877,-25.4296783368
2.2072840862,29.3790410251
-19.3134178719,-52.13538035
-1.6397694153,31.1743696485
-2.9665032517,-20.7951038238
0.3023921133,18.2695788056
-26.0457900795,-45.1438487865
-40.8279526968,-3.4065672914
-20.1279012408,-16.6346260558
8.8082017039,-0.9936724118
-4.9562942724,69.9262830892
16.8389236963,-16.6344151935
36.1033322095,7.4361304207
-8.1671867377,-2.1008835495
8.4921585797,-52.6343658486
-21.5298482194,11.8281838362
31.8114399149,-1.4165239161
42.40057612,-53.8641895683
53.2681945106,-18.6800844968
-14.3003111253,35.9005940064
-10.6426037934,59.9307652588
-20.2654147187,1.9646477884
-36.4971175314,-6.457004835
-38.0447630279,1.7340909096
-27.3299156399,-3.8532020172
-18.414371212,2.6360516109
-40.3508089951,1.4076094921
-39.3517347947,-6.5994216303
-19.3927115483,27.1932460646
-44.6310072945,4.0444919414
-41.0941988763,5.0950078069
-17.4965397005,0.3179191646
-17.0727003032,24.2956222573
-24.5218713677,15.5645731729
-46.8765619485,15.7481819902
-26.049004819,9.1099322616
-50.9115650221,27.5475977847
-50.9488720944,25.7670561482
-69.4637618188,11.505497325
-44.6657113196,20.3693859531
-72.9888180579,7.7236233016
-65.6568122419,-0.7438238626
-23.6440794089,13.1036179224
-46.1455099284,19.5909613289
58.3136716533,38.069583054
5.8174003571,33.0389026452
4.0483043681,56.4151269744
44.9904739944,22.7046268826
31.5378244739,14.0602447074
27.5134242782,63.017819521
-8.0349516533,41.3586710702
4.338568175,8.5543507812
49.730312973,48.2299626434
48.1195560547,23.1967590997
38.5593542657,13.8551359616
33.8537934196,24.96506281
21.9460229307,52.1902445231
9.588733972,10.916608069
-7.9885864586,41.7907334242
28.7366773907,38.4483567646
25.5102387511,35.4383817146
-6.8903914855,43.6443139704
38.7008841121,17.6290683717
56.8778321296,45.8875453681
50.2620052874,46.2334002473
24.646075513,55.2964063396
10.676783564,12.6314949907
-5.3901017356,39.7117107943
-16.6259137103,42.9446925504
10.3615977793,20.2841508307
0.6167386133,16.7186718398
2.8998486589,9.2762253891
-12.4973606522,27.7756057948
-2.306157083,20.6078337537
-5.2805149119,41.8927972081
-11.2553038601,54.5510224152
-9.4118290003,7.1884651593
21.0023935494,24.7557199115
2.2630432429,39.4465320658
