Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Gordon Hayward,UTA,26,6.6666,226,Butler,USA,2010,1,9,80,19.7,5,3.7,1,2.5,13.5,25.6,55.9,18.1
Gorgui Dieng,MIN,26,6.9166,241,Louisville,Senegal,2013,1,21,82,10.1,7.1,1.7,0.8,8.6,22.2,16.9,60.1,9.9
Greg Monroe,MIL,26,6.9166,265,Georgetown,USA,2010,1,7,79,15.3,8.8,2.3,-2.7,10.9,23.9,23.4,56.2,12.8
Greg Smith,MIN,25,6.0833,250,Fresno State,USA,2020,3,70,18,2.4,2.3,0.3,-17.8,6.9,18.6,10.8,54.5,4.9
Greivis Vasquez,MIL,29,6.5,217,Maryland,Venezuela,2010,1,28,23,5.7,2,4,-8.9,1.2,10.5,18.9,43.5,32
Harrison Barnes,GSW,24,6.6666,225,North Carolina,USA,2012,1,7,66,11.7,4.9,1.8,10.5,4.3,12.7,15.9,55.9,7.7
Hassan Whiteside,MIA,27,7,265,Marshall,USA,2010,2,33,73,14.2,11.8,0.4,3,13,31.6,20.5,62.9,2.2
Henry Sims,BKN,26,6.8333,248,Georgetown,USA,2020,3,70,14,6.5,5.1,0.6,-16.8,8.4,23,17,50.4,5.4
Hollis Thompson,PHI,25,6.6666,206,Georgetown,USA,2020,3,70,77,9.8,3.5,1.3,-8.4,2.6,11.3,16.1,52.5,7.2
Ian Clark,GSW,25,6.25,175,Belmont,USA,2020,3,70,66,3.6,1,1,-5.2,2.6,10.1,20.1,54.4,17.1
Ian Mahinmi,IND,29,6.9166,250,None,France,2005,1,28,71,9.3,7.1,1.5,4.3,8.4,22.1,15.8,60.3,9
Iman Shumpert,CLE,26,6.4166,220,Georgia Tech,USA,2011,1,17,54,5.8,3.8,1.7,7.8,2.8,14.3,13.3,47.5,10
Isaiah Canaan,PHI,25,6,201,Murray State,USA,2013,2,34,77,11,2.3,1.8,-12.6,1,9,19.8,52.8,12
Isaiah Thomas,BOS,27,5.75,185,Washington,USA,2011,2,60,82,22.2,3,6.2,3.7,1.8,8,29.3,56.2,31.2
Ish Smith,PHI,27,6,175,Wake Forest,USA,2020,3,70,77,12.6,4,6.5,-7.5,2,12.7,23.8,46.5,37
J.J. O'Brien,UTA,24,6.5833,220,San Diego State,USA,2020,3,70,2,0,0.5,0,-48.1,0,25,7.7,0,0
J.R. Smith,CLE,30,6.5,225,None,USA,2004,1,18,77,12.4,2.8,1.7,6.1,2,8.4,17.8,54.2,8.2
JJ Hickson,WAS,27,6.75,242,North Carolina State,USA,2008,1,19,35,5.9,3.8,0.7,-7.4,9.5,22.6,22.2,51.4,9.1
JJ Redick,LAC,32,6.3333,190,Duke,USA,2006,1,11,75,16.3,1.9,1.4,12.1,0.5,6.5,22.4,63.2,8
JaKarr Sampson,DEN,23,6.75,214,St. John's (NY),USA,2020,3,70,73,5.1,2.6,0.6,-6.5,4.2,13.4,16.8,50.4,6.2
JaMychal Green,MEM,26,6.75,227,Alabama,USA,2020,3,70,78,7.4,4.8,0.9,-1.9,10.3,19.7,19.3,52,7.4
JaVale McGee,DAL,28,7,270,Nevada,USA,2008,1,18,34,5.1,3.9,0.1,-6.6,14.8,23.1,21.2,57.4,1.5
Jabari Parker,MIL,21,6.6666,250,Duke,USA,2014,1,2,76,14.1,5.2,1.7,-3.4,5.9,12.7,20.8,53.5,8.6
Jae Crowder,BOS,25,6.5,235,Marquette,USA,2012,2,34,73,14.2,5.1,1.8,4.5,3.1,14.1,18.4,56.5,8.7
Jahlil Okafor,PHI,20,6.9166,275,Duke,USA,2015,1,3,53,17.5,7,1.2,-16.6,8.4,17.8,27.8,53.6,8.8
Jamal Crawford,LAC,36,6.4166,195,Michigan,USA,2000,1,8,79,14.2,1.8,2.3,2.3,1,6.6,24.6,52.9,14.5
Jameer Nelson,DEN,34,6,190,Saint Joseph's,USA,2004,1,20,39,7.7,2.9,4.9,-7,1.9,10.9,16.6,46.4,28.7
James Anderson,SAC,27,6.5,213,Oklahoma State,USA,2010,1,20,51,3.5,1.7,0.8,-3.2,1.9,10.4,13.7,46.9,7.8
James Ennis,NOP,25,6.5833,210,Long Beach State,USA,2013,2,50,22,7.2,1.9,1,-6.4,7.4,7.8,20,62.1,10.4
James Harden,HOU,26,6.4166,220,Arizona State,USA,2009,1,3,82,29,6.1,7.5,1.2,2.2,15.7,32.5,59.8,35.4
James Johnson,TOR,29,6.75,250,Wake Forest,USA,2009,1,16,57,5,2.2,1.2,-0.6,3.5,12.1,16,53.2,11.3
James Jones,CLE,35,6.6666,218,Miami (FL),USA,2003,2,49,48,3.7,1,0.3,-4.8,1.8,9.9,16.3,58,5.4
James Michael McAdoo,GSW,23,6.75,240,North Carolina,USA,2020,3,70,41,2.9,1.4,0.4,-15.9,12,13.1,20.1,55.4,11
James Young,BOS,20,6.5,215,Kentucky,USA,2014,1,17,29,1,0.9,0.3,-6.1,2.1,12.9,9.5,38.4,6.3
Jared Cunningham,CLE,25,6.3333,195,Oregon State,USA,2012,1,24,44,2.7,0.9,0.5,-3.3,0.9,10.2,16.9,46.4,7.4
Jared Dudley,WAS,30,6.5833,225,Boston College,USA,2007,1,22,81,7.9,3.5,2.1,1.1,2.9,12.8,12.9,60.2,11.2
Jared Sullinger,BOS,24,6.75,260,Ohio State,USA,2012,1,21,81,10.3,8.3,2.3,4.3,10.6,27.1,21.8,47.6,14.8
Jarell Eddie,WAS,24,6.5833,218,Virginia Tech,USA,2020,3,70,26,2.4,0.9,0.2,-10.9,1.3,15,20.1,46,5.8
Jarell Martin,MEM,22,6.8333,239,Louisiana State,USA,2015,1,25,27,5.7,3.2,0.6,-5.8,10,15,18.2,53.4,6.5
Jarnell Stokes,MEM,22,6.75,263,Tennessee,USA,2014,2,35,7,1,0.6,0.1,20.3,7.1,17.6,14.1,59.5,8.3
Jarrett Jack,BKN,32,6.25,200,Georgia Tech,USA,2005,1,22,32,12.8,4.3,7.4,-5.8,0.9,13.8,21.3,50.5,34
Jason Smith,ORL,30,7,240,Colorado State,USA,2007,1,20,76,7.2,2.9,0.8,-1.9,5.1,16.3,22.4,51.3,8.7
Jason Terry,HOU,38,6.1666,185,Arizona,USA,1999,1,10,72,5.9,1.1,1.4,-0.3,1.2,5.8,15,54,12.5
Jason Thompson,TOR,29,6.9166,250,Rider,USA,2008,1,12,47,3.1,2.9,0.6,1.2,7.5,23.4,14,55.8,9.4
Jeff Ayres,LAC,29,6.75,250,Arizona State,USA,2009,2,31,17,1.8,1.3,0.3,-18.2,4.2,17,14.2,58.5,7.8
Jeff Green,LAC,29,6.75,235,Georgetown,USA,2007,1,5,80,11.7,4.2,1.7,-0.1,3.8,13.2,20.7,51,10.2
Jeff Teague,ATL,28,6.1666,186,Wake Forest,USA,2009,1,19,79,15.7,2.7,5.9,1.5,1.6,8.3,26.3,55.1,34.1
Jeff Withey,UTA,26,7,231,Kansas,USA,2013,2,39,51,4.3,3.4,0.4,4.4,10.2,20.9,15.3,57.7,5.1
Jerami Grant,PHI,22,6.6666,210,Syracuse,USA,2014,2,39,77,9.7,4.7,1.8,-9.1,5.1,13.9,18.3,50.6,10.6
Jeremy Evans,DAL,28,6.75,200,Western Kentucky,USA,2010,2,55,30,2.4,1.8,0.1,-4.5,4.7,16.7,11.6,62,1.3
Jeremy Lamb,CHA,24,6.4166,185,Connecticut,USA,2012,1,12,66,8.8,3.8,1.2,5.9,3.9,18,21.9,52.9,11.1
Jeremy Lin,CHA,27,6.25,200,Harvard,USA,2020,3,70,78,11.7,3.2,3,2.7,2.2,11.1,22,53.4,19.2
Jerian Grant,NYK,23,6.3333,195,Notre Dame,USA,2015,1,19,76,5.6,1.9,2.3,-6.4,2,10.5,18.9,47.9,23.6
Jerryd Bayless,MIL,27,6.25,200,Arizona,USA,2008,1,11,52,10.4,2.7,3.1,-4.9,1.6,9.2,16.7,56.8,16.8
Jimmer Fredette,SAS,27,6.1666,195,Brigham Young,USA,2011,1,10,6,1.5,0,0.2,-71.1,0,0,24.2,62.5,50
Jimmy Butler,CHI,26,6.5833,220,Marquette,USA,2011,1,30,67,20.9,5.3,4.8,-0.8,3.5,11.6,24.5,56.2,21.8
Joakim Noah,CHI,31,6.9166,232,Florida,USA,2007,1,9,29,4.3,8.8,3.8,-0.2,14,26.6,13.9,40.6,25.6
Jodie Meeks,DET,28,6.3333,210,Kentucky,USA,2009,2,41,3,7.3,1.7,1,12.4,2.6,10.3,24.3,50.6,14.3
Joe Harris,CLE,24,6.5,219,Virginia,USA,2014,2,33,5,0.6,0.6,0.4,-55.2,0,37.5,14.2,37.5,18.2
Joe Ingles,UTA,28,6.6666,226,None,Australia,2020,3,70,81,4.2,1.9,1.2,-2.1,1.7,12.4,13.3,57.2,12.5
Joe Johnson,MIA,35,6.5833,240,Arkansas,USA,2001,1,10,81,12.2,3.6,3.9,-1.1,2.1,10.1,18,53.8,17.2
Joe Young,IND,24,6.1666,180,Oregon,USA,2015,2,43,41,3.8,1.2,1.6,-5.1,1.7,12.3,24,42.8,26.1
Joel Anthony,DET,33,6.75,245,Nevada-Las Vegas,Canada,2020,3,70,19,0.9,1.1,0.1,-7,9.3,15.1,7.4,66.6,2
Joffrey Lauvergne,DEN,24,6.9166,220,None,France,2013,2,55,59,7.9,4.9,0.9,-9.7,8.3,23.2,19.9,56.7,9.3
John Henson,MIL,25,6.9166,229,North Carolina,USA,2012,1,14,57,7,3.9,0.9,-4.8,10.5,15.2,19.2,58,9.6
John Jenkins,PHX,25,6.3333,215,Vanderbilt,USA,2012,1,23,43,4.1,1.3,0.8,-6.6,1.7,10.2,17.4,52.2,11.1
John Wall,WAS,25,6.3333,195,Kentucky,USA,2010,1,1,77,19.9,4.9,10.2,0.7,1.7,13.8,28.4,51,44.9
Johnny O'Bryant,MIL,23,6.75,257,Louisiana State,USA,2014,2,36,66,3,2.7,0.5,-5.7,9,15,13.8,44.1,5.7
Jon Leuer,PHX,27,6.8333,228,Wisconsin,USA,2011,2,40,67,8.5,5.6,1.1,-3,6.5,25.9,19.9,55.5,9
Jonas Jerebko,BOS,29,6.8333,231,None,Sweden,2009,2,39,78,4.4,3.7,0.8,2.9,7,19.9,13.6,53.1,7.8
Jonas Valanciunas,TOR,24,7,255,None,Lithuania,2011,1,5,60,12.8,9.1,0.7,3,14.2,27.3,20.7,61,4.5
Jonathon Simmons,SAS,26,6.5,195,Houston,USA,2020,3,70,55,6,1.7,1.1,7.2,2.5,10.9,19,58.6,10.8
Jordan Adams,MEM,21,6.4166,209,UCLA,USA,2014,1,22,2,3.5,1,1.5,5.3,0,18.2,28.6,42.7,27.3
Jordan Clarkson,LAL,24,6.4166,194,Missouri,USA,2014,2,46,79,15.5,4,2.4,-13.1,3.7,9.6,22.8,51.6,13.9
Jordan Farmar,MEM,29,6.1666,180,UCLA,USA,2006,1,26,12,9.2,2.1,3.1,-13.6,1.4,9.7,18.2,52.7,19.8
Jordan Hamilton,NOP,25,6.5833,220,Texas,USA,2011,1,26,11,11.4,5.6,2.3,-11.2,4.3,19.4,20.8,49.9,12.8
Jordan Hill,IND,28,6.8333,235,Arizona,USA,2009,1,8,73,8.8,6.2,1.2,1.2,11.2,20.9,20.4,53.4,9.6
Jordan McRae,CLE,25,6.4166,179,Tennessee,USA,2014,2,58,22,4.5,0.9,1.1,10.6,2.4,8.2,25.3,54.8,21.6
Jordan Mickey,BOS,21,6.6666,235,Louisiana State,USA,2015,2,33,16,1.3,0.8,0.1,9.3,10.2,14.3,20.8,39.8,3
Jorge Gutierrez,CHA,27,6.25,189,California-Berkeley,Mexico,2020,3,70,12,1.8,0.6,1.4,11.6,0,10.3,15.5,69.4,39.5
Jose Calderon,NYK,34,6.25,200,None,Spain,2020,3,70,72,7.6,3.2,4.1,-2,1.2,10.9,12.6,57.1,21.3
Jose Juan Barea,DAL,32,6,185,Northeastern,Puerto Rico,2020,3,70,74,10.9,2.1,4.1,-1.8,1.7,8.5,23.5,53.6,30.1
Josh Huestis,OKC,24,6.5833,230,Stanford,USA,2014,1,29,5,2.8,2,0,-3.4,4.5,15.7,13.2,50.9,0
Josh McRoberts,MIA,29,6.8333,240,Duke,USA,2007,2,37,42,3.6,2.5,1.9,2,4.4,15.7,15.4,45.3,20.4
Josh Richardson,MIA,22,6.5,200,Tennessee,USA,2015,2,40,52,6.6,2.1,1.4,3.1,2.3,8.5,13.7,56.9,9.8
Josh Smith,HOU,30,6.75,225,None,USA,2004,1,17,55,6,3.5,1.6,-4.2,5.9,17.7,22.6,43.9,17.2
Jrue Holiday,NOP,26,6.3333,205,UCLA,USA,2009,1,17,65,16.8,3,6,-0.3,1.6,10.6,28.7,52.9,36.5
Julius Randle,LAL,21,6.75,250,Kentucky,USA,2014,1,7,81,11.3,10.2,1.8,-15.4,7.7,32.7,21.2,48.2,11.1
Justin Anderson,DAL,22,6.5,228,Virginia,USA,2015,1,21,55,3.8,2.4,0.5,2.2,2.9,18.8,15.5,52.2,7.1
Justin Harper,BKN,26,6.8333,225,Richmond,USA,2011,2,32,5,2.6,0.2,0,-51.9,0,3.8,17.7,59.7,0
Justin Holiday,CHI,27,6.5,185,Washington,USA,2020,3,70,53,4.5,1.7,1.1,-3.4,1.7,11.1,16.4,48.9,11.1
Justise Winslow,MIA,20,6.5833,225,Duke,USA,2015,1,10,78,6.4,5.2,1.5,3.9,4.2,15.8,12.4,48.9,7.7
Jusuf Nurkic,DEN,21,7,280,None,Boznia & Herzegovina,2014,1,16,32,8.2,5.5,1.3,-1.3,12.8,22.7,27.2,46,12.3
KJ McDaniels,HOU,23,6.5,205,Clemson,USA,2014,2,32,37,2.4,1.1,0.3,18.9,7.8,10.4,18.8,52.2,5.9
Karl-Anthony Towns,MIN,20,7,244,Kentucky,USA,2015,1,1,82,18.3,10.5,2,-2.1,10.2,27.1,24.7,59,10.8
Kawhi Leonard,SAS,25,6.5833,230,San Diego State,USA,2011,1,15,72,21.2,6.8,2.6,14.3,4.6,18.2,25.8,61.6,12.8
Keith Appling,ORL,24,6.0833,185,Michigan State,USA,2020,3,70,5,1.2,0.2,0.2,20.3,0,4.2,20.1,33.8,5.9
Kelly Olynyk,BOS,25,7,238,Gonzaga,Canada,2013,1,13,69,10,4.1,1.5,5.2,5.4,15.8,20.7,56.1,11.9
Kelly Oubre,WAS,20,6.5833,205,Kansas,USA,2015,1,15,63,3.7,2.1,0.2,-1.9,3.9,17.7,17.3,50.7,2.9
Kemba Walker,CHA,26,6.0833,184,Connecticut,USA,2011,1,9,81,20.9,4.4,5.2,4.2,2.1,11.6,26.5,55.4,25.3
Kendall Marshall,PHI,24,6.3333,200,North Carolina,USA,2012,1,13,30,3.7,0.9,2.4,-14.6,0.5,7.6,18.1,44.9,26.6
Kendrick Perkins,NOP,31,6.8333,270,None,USA,2003,1,27,37,2.5,3.5,0.8,-5.8,5.3,22.5,10.6,52.9,7.7
Kenneth Faried,DEN,26,6.6666,228,Morehead State,USA,2011,1,22,67,12.5,8.7,1.2,-4.3,15,23.2,20.7,57.7,7.7
Kent Bazemore,ATL,26,6.4166,201,Old Dominion,USA,2020,3,70,75,11.6,5.1,2.3,3.2,1.5,17.6,19.9,55.1,12.7
Kentavious Caldwell-Pope,DET,23,6.4166,205,Georgia,USA,2013,1,8,76,14.5,3.7,1.8,2,2.6,8.5,18,52.1,7.5
Kevin Durant,OKC,27,6.75,240,Texas,USA,2007,1,2,72,28.2,8.2,5,11.2,2.1,20.9,30.5,63.4,23
Kevin Garnett,MIN,40,6.9166,240,None,USA,1995,1,5,38,3.2,3.9,1.6,6.6,3.1,26.2,11.7,49.1,16.4
Kevin Love,CLE,27,6.8333,251,UCLA,USA,2008,1,5,77,16,9.9,2.4,8.4,7.1,28.7,23.5,55.3,11.9
Kevin Martin,SAS,33,6.5833,199,Western Carolina,USA,2004,1,26,55,9.3,2,1.1,-5.4,1.4,10.2,22.2,52,8.9
Kevin Seraphin,NYK,26,6.8333,278,Le Moyne,France,2010,1,17,48,3.9,2.6,1,-10.4,6.5,19.4,22.3,43.5,15.7
Kevon Looney,GSW,20,6.75,220,UCLA,USA,2015,1,30,5,1.8,2,0,-41.8,16,37.5,15.4,64.3,0
Khris Middleton,MIL,24,6.6666,234,Texas A&M,USA,2012,2,39,79,18.2,3.8,4.2,-0.1,1.8,10.3,22.9,56,18.3
Kirk Hinrich,ATL,35,6.3333,190,Kansas,USA,2003,1,7,46,3,1.5,1.6,1.5,1.4,10.7,11.7,50.4,17.3
Klay Thompson,GSW,26,6.5833,215,Washington State,USA,2011,1,11,80,22.1,3.8,2.1,15.7,1.5,10,26.4,59.7,9.4
Kobe Bryant,LAL,37,6.5,212,None,USA,1996,1,13,66,17.6,3.7,2.8,-15.8,2.3,12.3,31.9,46.9,18.3
Kosta Koufos,SAC,27,7,265,Ohio State,USA,2008,1,23,78,6.8,5.4,0.4,-7.1,12.2,19,15.5,54,3.4
Kostas Papanikolaou,DEN,25,6.6666,235,None,Greece,2012,2,48,26,2.6,1.5,0.6,-0.2,3.2,12.5,14.5,46.4,7.7
Kris Humphries,ATL,31,6.75,235,Minnesota,USA,2004,1,14,53,6.5,4.1,0.7,-5.2,7.3,21.6,19.2,51.7,6.8
Kristaps Porzingis,NYK,20,7.25,240,None,Latvia,2015,1,4,72,14.3,7.3,1.3,-0.2,7.1,20.6,24.5,51.8,7.6
Kyle Anderson,SAS,22,6.75,230,UCLA,USA,2014,1,30,78,4.5,3.1,1.6,10,2.4,20.1,14.7,52.8,14
Kyle Korver,ATL,35,6.5833,212,Creighton,USA,2003,2,51,80,9.2,3.3,2.1,6.3,0.6,10.8,13.5,57.7,9.5
Kyle Lowry,TOR,30,6,205,Villanova,USA,2006,1,24,77,21.2,4.7,6.4,6,2.3,12.4,26,57.8,29.3
Kyle O'Quinn,NYK,26,6.8333,250,Norfolk State,USA,2012,2,49,65,4.8,3.8,1.1,-4.3,11.4,23.7,21.2,52,16.1
Kyle Singler,OKC,28,6.6666,228,Duke,USA,2011,2,33,68,3.4,2.1,0.4,-0.7,5.6,9.9,11.7,48.1,3.5
Kyrie Irving,CLE,24,6.25,193,Duke,Australia,2011,1,1,53,19.6,3,4.7,5.7,3,7.8,29.3,54,25.3
LaMarcus Aldridge,SAS,30,6.9166,240,Texas,USA,2006,1,2,74,18,8.5,1.5,12,9.1,22.2,26,56.5,8.1
Lamar Patterson,ATL,24,6.4166,225,Pittsburgh,USA,2020,3,70,35,2.4,1.4,1.1,3.1,1.2,14.1,12.6,46.8,13.4
Lance Stephenson,MEM,25,6.4166,230,Cincinnati,USA,2010,2,40,69,8.3,3.2,1.9,-2.4,3.2,15.2,19.9,54.8,15.2
Lance Thomas,NYK,28,6.6666,235,Duke,USA,2020,3,70,59,8.2,2.2,0.9,-0.1,3,7.9,17.2,55.7,6.6
Langston Galloway,NYK,24,6.1666,200,Saint Joseph's,USA,2020,3,70,82,7.6,3.5,2.5,-2.9,2.3,13.1,15.5,49,16.1
Larry Nance Jr.,LAL,23,6.75,230,Wyoming,USA,2015,1,27,63,5.5,5,0.7,-5.2,8.6,18.4,12.6,54.4,5.5
Lavoy Allen,IND,27,6.75,255,Temple,USA,2011,2,50,79,5.4,5.4,1,6.9,11.4,18,13.1,53.2,7
LeBron James,CLE,31,6.6666,250,None,USA,2003,1,1,76,25.3,7.4,6.8,11,4.7,18.7,31.1,58.8,33.9
Leandro Barbosa,GSW,33,6.25,194,None,Brazil,2003,1,28,68,6.4,1.7,1.2,3.1,2.8,9,17.9,54.5,11.2
Lorenzo Brown,DET,25,6.4166,189,North Carolina State,USA,2013,2,52,8,2.5,0.9,1.4,-29.1,0,14.9,26.1,37.4,30.6
Lou Amundson,NYK,33,6.75,220,Nevada-Las Vegas,USA,2020,3,70,29,1.8,1.7,0.4,-9.7,11.5,13.7,17.5,40.1,10.7
Lou Williams,LAL,29,6.0833,175,None,USA,2005,2,45,67,15.3,2.5,2.5,-10.8,1.7,8,22.7,58.4,14.9
Luc Mbah a Moute,LAC,29,6.6666,230,UCLA,Cameroon,2008,2,37,75,3.1,2.3,0.4,11.5,5.3,9,9.7,49.8,3.2
Lucas Nogueira,TOR,23,7,220,None,Brazil,2013,1,16,29,2.2,1.6,0.2,8.1,8.7,13.6,12.5,64.2,4.4
Luis Montero,POR,23,6.5833,185,Westchester CC NY,Dominican Republic,2020,3,70,12,1.2,0.3,0.1,-58,0,11.8,26.6,33.7,6.7
Luis Scola,TOR,36,6.75,240,None,Argentina,2002,2,55,76,8.7,4.8,0.9,-2.7,6.1,19.9,19.3,52.3,6.6
Luke Babbitt,NOP,27,6.75,225,Nevada,USA,2010,1,16,47,7,3.1,1.1,-3.1,3.2,16.6,17.2,52.6,9.2
Luol Deng,MIA,31,6.75,220,Duke,Great Britain,2004,1,7,74,12.3,6,1.9,1.3,5.2,15.5,17.1,54.9,8.7
Manu Ginobili,SAS,38,6.5,205,None,Argentina,1999,2,57,58,9.6,2.5,3.1,14.9,2.8,11.5,23.1,57.3,23.4
Marc Gasol,MEM,31,7.0833,255,None,Spain,2007,2,48,52,16.6,7,3.8,-0.1,3.6,20.2,23.9,52.8,19.5
Marcelo Huertas,LAL,33,6.25,200,None,Brazil,2020,3,70,53,4.5,1.7,3.4,0.1,2.3,9.3,16.5,48.8,32.7
Marcin Gortat,WAS,32,6.9166,240,None,Poland,2005,2,57,75,13.5,9.9,1.4,0.8,10.7,25.2,18.8,59.2,7.2
Marco Belinelli,SAC,30,6.4166,210,None,Italy,2007,1,18,68,10.2,1.7,1.9,-6.4,0.6,7.1,19.9,50,11.7
Marcus Morris,DET,26,6.75,235,Kansas,USA,2011,1,14,80,14.1,5.1,2.5,1.8,3.4,12.6,18.4,53.1,10.7
Marcus Smart,BOS,22,6.3333,220,Oklahoma State,USA,2014,1,6,61,9.1,4.2,3,2.6,4.7,11.7,17.2,46.3,16.2
Marcus Thornton,WAS,29,6.3333,205,Louisiana State,USA,2009,2,43,61,9.7,2.5,1.4,-0.4,3.7,11.2,24,51.1,12.5
Mario Chalmers,MIA,30,6.1666,190,Kansas,USA,2008,2,34,61,10.3,2.6,3.8,2.9,2,11.1,21.8,56.1,27
Mario Hezonja,ORL,21,6.6666,218,None,Croatia,2015,1,5,79,6.1,2.2,1.4,-1.4,2.2,12.1,16.9,54.1,11.3
Markel Brown,BKN,24,6.25,190,Oklahoma State,USA,2014,2,44,62,5.9,2,1.5,-11.5,2.6,12,18.7,50,14.2
Markieff Morris,WAS,26,6.8333,245,Kansas,USA,2011,1,13,64,12,5.5,1.9,-4.3,4.9,19.5,24.3,48.9,12.5
Marreese Speights,GSW,28,6.8333,255,Florida,USA,2008,1,16,72,7.1,3.3,0.8,1.7,10.1,20.5,30.2,50.6,12.6
Marvin Williams,CHA,30,6.75,237,North Carolina,USA,2005,1,2,81,11.7,6.4,1.4,5.2,5.9,18.7,16.9,58.5,7.4
Mason Plumlee,POR,26,6.9166,235,Duke,USA,2013,1,22,82,9.1,7.7,2.8,1.1,10.6,22.3,17.3,56.4,16.1
